genus,species,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date
Klebsiella,pneumoniae,SRR5385855,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-25
Klebsiella,pneumoniae,SRR5385856,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-09-22
Klebsiella,pneumoniae,SRR5385857,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-09-17
Klebsiella,pneumoniae,SRR5385858,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-23
Klebsiella,pneumoniae,SRR5385860,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-09-27
Klebsiella,pneumoniae,SRR5385861,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-22
Klebsiella,pneumoniae,SRR5385862,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-16
Klebsiella,pneumoniae,SRR5385863,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-15
Klebsiella,pneumoniae,SRR5385864,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2013-08-21
Klebsiella,pneumoniae,SRR5385865,Resistant,meropenem,==,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-18
Klebsiella,pneumoniae,SRR5385866,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-08-18
Klebsiella,pneumoniae,SRR5385867,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-08-18
Klebsiella,pneumoniae,SRR5385868,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-16
Klebsiella,pneumoniae,SRR5385869,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-14
Klebsiella,pneumoniae,SRR5385870,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-19
Klebsiella,pneumoniae,SRR5385871,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-08-18
Klebsiella,pneumoniae,SRR5385872,Resistant,meropenem,==,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",drain,USA,2013-08-18
Klebsiella,pneumoniae,SRR5385873,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2013-08-06
Klebsiella,pneumoniae,SRR5385874,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-15
Klebsiella,pneumoniae,SRR5385878,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-16
Klebsiella,pneumoniae,SRR5385879,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-17
Klebsiella,pneumoniae,SRR5385880,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2013-08-07
Klebsiella,pneumoniae,SRR5385882,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-05
Klebsiella,pneumoniae,SRR5385883,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-08-10
Klebsiella,pneumoniae,SRR5385884,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-08-05
Klebsiella,pneumoniae,SRR5385885,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-07
Klebsiella,pneumoniae,SRR5385886,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-08-13
Klebsiella,pneumoniae,SRR5385887,Resistant,meropenem,==,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-08-06
Klebsiella,pneumoniae,SRR5385888,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2013-08-03
Klebsiella,pneumoniae,SRR5385889,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-09-27
Klebsiella,pneumoniae,SRR5385890,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-16
Klebsiella,pneumoniae,SRR5385891,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-04
Klebsiella,pneumoniae,SRR5385892,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",bile,USA,2013-09-28
Klebsiella,pneumoniae,SRR5385894,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-26
Klebsiella,pneumoniae,SRR5385895,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-10
Klebsiella,pneumoniae,SRR5385896,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",abscess,USA,2013-09-17
Klebsiella,pneumoniae,SRR5385897,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-26
Klebsiella,pneumoniae,SRR5385898,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-06
Klebsiella,pneumoniae,SRR5385899,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",ulcer,USA,2013-09-08
Klebsiella,pneumoniae,SRR5385900,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-02
Klebsiella,pneumoniae,SRR5385901,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-23
Klebsiella,pneumoniae,SRR5385903,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-14
Klebsiella,pneumoniae,SRR5385904,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-11
Klebsiella,pneumoniae,SRR5385905,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-03
Klebsiella,pneumoniae,SRR5385906,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-26
Klebsiella,pneumoniae,SRR5385907,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-26
Klebsiella,pneumoniae,SRR5385908,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-19
Klebsiella,pneumoniae,SRR5385909,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-23
Klebsiella,pneumoniae,SRR5385910,Resistant,meropenem,==,4,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-06
Klebsiella,pneumoniae,SRR5385914,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-09-06
Klebsiella,pneumoniae,SRR5385915,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",drain,USA,2013-09-13
Klebsiella,pneumoniae,SRR5385916,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-27
Klebsiella,pneumoniae,SRR5385917,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-09-27
Klebsiella,pneumoniae,SRR5385918,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",blood,USA,2013-09-23
Klebsiella,pneumoniae,SRR5385919,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2013-09-18
Klebsiella,pneumoniae,SRR5385920,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-07
Klebsiella,pneumoniae,SRR5385922,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-09
Klebsiella,pneumoniae,SRR5385923,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-26
Klebsiella,pneumoniae,SRR5385924,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-13
Klebsiella,pneumoniae,SRR5385925,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-09-12
Klebsiella,pneumoniae,SRR5385926,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-07-29
Klebsiella,pneumoniae,SRR5385927,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-08-12
Klebsiella,pneumoniae,SRR5385928,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",blood,USA,2013-07-22
Klebsiella,pneumoniae,SRR5385929,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-07-24
Klebsiella,pneumoniae,SRR5385930,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",ulcer,USA,2013-08-10
Klebsiella,pneumoniae,SRR5385931,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-01
Klebsiella,pneumoniae,SRR5385932,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2013-08-02
Klebsiella,pneumoniae,SRR5385933,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2013-08-10
Klebsiella,pneumoniae,SRR5385935,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-11-10
Klebsiella,pneumoniae,SRR5385936,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-11-01
Klebsiella,pneumoniae,SRR5385937,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-11-06
Klebsiella,pneumoniae,SRR5385939,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-11-23
Klebsiella,pneumoniae,SRR5385940,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",blood,USA,2014-11-10
Klebsiella,pneumoniae,SRR5385941,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",blood,USA,2014-11-10
Klebsiella,pneumoniae,SRR5385943,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",tissue,USA,2014-11-06
Klebsiella,pneumoniae,SRR5385944,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-11-18
Klebsiella,pneumoniae,SRR5385945,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-11-13
Klebsiella,pneumoniae,SRR5385946,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-11-12
Klebsiella,pneumoniae,SRR5385947,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-11-15
Klebsiella,pneumoniae,SRR5385949,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-11-16
Klebsiella,pneumoniae,SRR5385950,Resistant,meropenem,==,6,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-11-17
Klebsiella,pneumoniae,SRR5385951,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-11-12
Klebsiella,pneumoniae,SRR5385952,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",blood,USA,2014-10-14
Klebsiella,pneumoniae,SRR5385953,Resistant,meropenem,==,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2014-10-19
Klebsiella,pneumoniae,SRR5385954,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",blood,USA,2014-10-19
Klebsiella,pneumoniae,SRR5385955,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-10-15
Klebsiella,pneumoniae,SRR5385956,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",tissue,USA,2014-10-17
Klebsiella,pneumoniae,SRR5385957,Resistant,meropenem,==,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",blood,USA,2014-10-14
Klebsiella,pneumoniae,SRR5385958,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-17
Klebsiella,pneumoniae,SRR5385959,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-10-19
Klebsiella,pneumoniae,SRR5385960,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-10-18
Klebsiella,pneumoniae,SRR5385962,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-19
Klebsiella,pneumoniae,SRR5385963,Resistant,meropenem,==,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2014-10-23
Klebsiella,pneumoniae,SRR5385964,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",blood,USA,2014-10-22
Klebsiella,pneumoniae,SRR5385965,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-22
Klebsiella,pneumoniae,SRR5385966,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",blood,USA,2014-10-30
Klebsiella,pneumoniae,SRR5385967,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-24
Klebsiella,pneumoniae,SRR5385968,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-10-23
Klebsiella,pneumoniae,SRR5385969,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-26
Klebsiella,pneumoniae,SRR5385970,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-21
Klebsiella,pneumoniae,SRR5385971,Resistant,meropenem,==,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-27
Klebsiella,pneumoniae,SRR5385972,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",blood,USA,2014-10-18
Klebsiella,pneumoniae,SRR5385974,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-29
Klebsiella,pneumoniae,SRR5385975,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",blood,USA,2014-10-27
Klebsiella,pneumoniae,SRR5385976,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-26
Klebsiella,pneumoniae,SRR5385977,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",blood,USA,2014-10-27
Klebsiella,pneumoniae,SRR5385978,Resistant,meropenem,==,4,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-28
Klebsiella,pneumoniae,SRR5385979,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-10-26
Klebsiella,pneumoniae,SRR5385980,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-27
Klebsiella,pneumoniae,SRR5385981,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-10-08
Klebsiella,pneumoniae,SRR5385982,Resistant,meropenem,==,4,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2014-10-09
Klebsiella,pneumoniae,SRR5385983,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-10-10
Klebsiella,pneumoniae,SRR5385984,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-08
Klebsiella,pneumoniae,SRR5385985,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-09-22
Klebsiella,pneumoniae,SRR5385986,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-07
Klebsiella,pneumoniae,SRR5385987,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-10
Klebsiella,pneumoniae,SRR5385988,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-09-22
Klebsiella,pneumoniae,SRR5385989,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-09-29
Klebsiella,pneumoniae,SRR5385990,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-09-23
Klebsiella,pneumoniae,SRR5385991,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-09-23
Klebsiella,pneumoniae,SRR5385992,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",tissue,USA,2014-10-04
Klebsiella,pneumoniae,SRR5385993,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-07
Klebsiella,pneumoniae,SRR5385994,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-10-09
Klebsiella,pneumoniae,SRR5385995,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",blood,USA,2014-10-04
Klebsiella,pneumoniae,SRR5385996,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-01
Klebsiella,pneumoniae,SRR5385998,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-09-24
Klebsiella,pneumoniae,SRR5385999,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-09-22
Klebsiella,pneumoniae,SRR5386000,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-09-23
Klebsiella,pneumoniae,SRR5386001,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-07
Klebsiella,pneumoniae,SRR5386002,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-07
Klebsiella,pneumoniae,SRR5386003,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-09-28
Klebsiella,pneumoniae,SRR5386004,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-10-01
Klebsiella,pneumoniae,SRR5386005,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-03
Klebsiella,pneumoniae,SRR5386006,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-10-07
Klebsiella,pneumoniae,SRR5386025,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",pus,USA,2014-10-02
Klebsiella,pneumoniae,SRR5386026,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-09-23
Klebsiella,pneumoniae,SRR5386027,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-09-21
Klebsiella,pneumoniae,SRR5386028,Resistant,meropenem,==,12,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-09-28
Klebsiella,pneumoniae,SRR5386029,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-09-23
Klebsiella,pneumoniae,SRR5386030,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-09-28
Klebsiella,pneumoniae,SRR5386031,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-01
Klebsiella,pneumoniae,SRR5386032,Resistant,meropenem,==,4,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-05
Klebsiella,pneumoniae,SRR5386033,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-10-05
Klebsiella,pneumoniae,SRR5386034,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-09-21
Klebsiella,pneumoniae,SRR5386035,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-09-27
Klebsiella,pneumoniae,SRR5386036,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-10-08
Klebsiella,pneumoniae,SRR5386037,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2014-09-24
Klebsiella,pneumoniae,SRR5386038,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",respiratory,USA,2014-09-15
Klebsiella,pneumoniae,SRR5386039,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-09-09
Klebsiella,pneumoniae,SRR5386040,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-08-31
Klebsiella,pneumoniae,SRR5386041,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2014-09-19
Klebsiella,pneumoniae,SRR5386042,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-08-18
Klebsiella,pneumoniae,SRR5386043,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2014-08-26
Klebsiella,pneumoniae,SRR5386044,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-08-15
Klebsiella,pneumoniae,SRR5386045,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-08-17
Klebsiella,pneumoniae,SRR5386046,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",urine,USA,2014-08-27
Klebsiella,pneumoniae,SRR5386047,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",tissue,USA,2014-08-26
Klebsiella,pneumoniae,SRR5386048,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2014-09-13
Klebsiella,pneumoniae,SRR5386049,Susceptible,meropenem,<=,1,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2014-09-14
Klebsiella,pneumoniae,SRR5386050,Resistant,meropenem,>,8,mg/L,Broth dilution,BD Phoenix,CLSI,2017,"28512093,28776045",wound,USA,2014-08-29
