ARO	Gene Name	Antibiotic	AMR Gene Family	Drug Class	Resistance Mechanism
3002557	AAC(6')-Ij	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002558	AAC(6')-Ik	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002559	AAC(6')-Ip	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002560	AAC(6')-Iq	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002561	AAC(6')-Ir	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002562	AAC(6')-Is	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002563	AAC(6')-Isa	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002564	AAC(6')-It	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002565	AAC(6')-Iu	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002566	AAC(6')-Iv	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002567	AAC(6')-Iw	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002568	AAC(6')-Ix	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002569	AAC(6')-Iy	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002570	AAC(6')-Iz	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002571	AAC(6')-Iaa	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002572	AAC(6')-Iad	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002573	AAC(6')-Iae	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002574	AAC(6')-Iaf	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002575	AAC(6')-Iai	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002576	AAC(6')-Ib3	amikacin, kanamycin A, tobramycin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002577	AAC(6')-Ib4	amikacin, kanamycin A, tobramycin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002578	AAC(6')-Ib7	amikacin, kanamycin A, tobramycin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002579	AAC(6')-Ib8	amikacin, kanamycin A, tobramycin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002580	AAC(6')-Ib9	amikacin, kanamycin A, tobramycin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002581	AAC(6')-Ib10	amikacin, kanamycin A, tobramycin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002582	AAC(6')-Ib11	amikacin, kanamycin A, tobramycin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002583	AAC(6')-29a	dibekacin, amikacin, kanamycin A, tobramycin, isepamicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002584	AAC(6')-29b	dibekacin, amikacin, kanamycin A, tobramycin, isepamicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002585	AAC(6')-31	neomycin, amikacin, sisomicin, netilmicin, kanamycin A, tobramycin, isepamicin, gentamicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002586	AAC(6')-32	amikacin, tobramycin, gentamicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002587	AAC(6')-I33	amikacin, tobramycin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002588	AAC(6')-I30	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002589	AAC(6')-Iid	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002590	AAC(6')-Iih	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002591	AAC(6')-Ib-Suzhou	amikacin, kanamycin A, tobramycin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002592	AAC(6')-Ib-Hangzhou	amikacin, kanamycin A, tobramycin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002593	AAC(6')-Ib-SK	amikacin, kanamycin A, tobramycin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002594	AAC(6')-IIa	dibekacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin, gentamicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002595	AAC(6')-IIb	dibekacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin, gentamicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002596	AAC(6')-IIc	dibekacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin, gentamicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3002597	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	dibekacin, amikacin, sisomicin, netilmicin, kanamycin A, tobramycin, gentamicin A, 2'-N-ethylnetilmicin, 5-episisomicin, gentamicin	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation
3002598	ANT(3'')-II-AAC(6')-IId bifunctional protein	dibekacin, sisomicin, netilmicin, spectinomycin, streptomycin, tobramycin, gentamicin A, 2'-N-ethylnetilmicin, 5-episisomicin, gentamicin	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation
3002599	AAC(6')-30/AAC(6')-Ib' bifunctional protein	gentamicin A, gentamicin	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation
3002600	AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein	astromicin, amikacin, sisomicin, kanamycin A, tobramycin, gentamicin	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation
3002600	AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein	astromicin, amikacin, sisomicin, kanamycin A, tobramycin, gentamicin	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation
3002601	aadA	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002602	aadA2	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002603	aadA3	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002604	aadA4	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002605	aadA5	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002606	aadA6	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002607	aadA7	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002608	aadA8	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002609	aadA9	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002611	aadA11	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002612	aadA12	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002613	aadA13	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002614	aadA14	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002615	aadA15	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002616	aadA16	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002617	aadA17	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002618	aadA21	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002619	aadA22	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002620	aadA23	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002621	aadA24	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002622	aadA6/aadA10	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002623	ANT(4')-Ia	dibekacin, amikacin, tobramycin, isepamicin	ANT(4')	aminoglycoside antibiotic	antibiotic inactivation
3002624	ANT(4')-IIa	amikacin, tobramycin, isepamicin	ANT(4')	aminoglycoside antibiotic	antibiotic inactivation
3002625	ANT(4')-IIb	amikacin, tobramycin, isepamicin	ANT(4')	aminoglycoside antibiotic	antibiotic inactivation
3002626	ANT(6)-Ia	streptomycin	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
3002627	aadK	streptomycin	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
3002628	aad(6)	streptomycin	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
3002629	ANT(6)-Ib	streptomycin	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
3002630	ANT(9)-Ia	spectinomycin	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation
3002631	spd	spectinomycin	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation
3002634	APH(2'')-Ie	amikacin, kanamycin A, tobramycin, gentamicin A, gentamicin	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
3002635	APH(2'')-IIa	plazomicin	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
3002636	APH(2'')-IIIa	amikacin, kanamycin A, tobramycin, gentamicin A, gentamicin	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
3002637	APH(2'')-IVa	amikacin, kanamycin A, tobramycin, gentamicin A, gentamicin	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
3002638	APH(3'')-Ia	streptomycin	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002639	APH(3'')-Ib	streptomycin	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002640	APH(3'')-Ic	streptomycin	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
3002641	APH(3')-Ia	neomycin, ribostamycin, kanamycin A, gentamicin B, paromomycin, lividomycin, gentamicin	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3002642	APH(3')-Ib	neomycin, ribostamycin, kanamycin A, gentamicin B, paromomycin, lividomycin, gentamicin	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3002644	APH(3')-IIa	neomycin, ribostamycin, butirosin, kanamycin A, gentamicin B, paromomycin, gentamicin	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3002645	APH(3')-IIb	neomycin, ribostamycin, butirosin, kanamycin A, gentamicin B, paromomycin, gentamicin	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3002646	APH(3')-IIc	neomycin, ribostamycin, butirosin, kanamycin A, gentamicin B, paromomycin, gentamicin	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3002647	APH(3')-IIIa	neomycin, amikacin, ribostamycin, butirosin, kanamycin A, isepamicin, gentamicin B, paromomycin, lividomycin, gentamicin	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3002648	APH(3')-IVa	neomycin, ribostamycin, butirosin, kanamycin A, paromomycin	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3002649	APH(3')-Va	neomycin, ribostamycin, paromomycin	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3002650	APH(3')-Vb	neomycin, ribostamycin, paromomycin	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3002651	APH(3')-Vc	neomycin, ribostamycin, paromomycin	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3002652	APH(3')-VIa	neomycin, amikacin, ribostamycin, butirosin, kanamycin A, isepamicin, gentamicin B, paromomycin, gentamicin	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3002653	APH(3')-VIb	neomycin, amikacin, ribostamycin, butirosin, kanamycin A, isepamicin, gentamicin B, paromomycin, gentamicin	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3002654	APH(3')-VIIa	neomycin, kanamycin A	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3002655	APH(4)-Ia	hygromycin B	APH(4)	aminoglycoside antibiotic	antibiotic inactivation
3002656	APH(4)-Ib	hygromycin B	APH(4)	aminoglycoside antibiotic	antibiotic inactivation
3002657	APH(6)-Ia	streptomycin	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
3002658	APH(6)-Ib	streptomycin	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
3002659	APH(6)-Ic	streptomycin	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
3002660	APH(6)-Id	streptomycin	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
3002661	APH(7'')-Ia	hygromycin B	APH(7'')	aminoglycoside antibiotic	antibiotic inactivation
3002662	APH(9)-Ia	spectinomycin	APH(9)	aminoglycoside antibiotic	antibiotic inactivation
3002663	APH(9)-Ib	spectinomycin	APH(9)	aminoglycoside antibiotic	antibiotic inactivation
3002665	npmA	neomycin, amikacin, ribostamycin, gentamicin A, gentamicin	16S rRNA methyltransferase (A1408)	aminoglycoside antibiotic	antibiotic target alteration
3002666	rmtF	astromicin, kanamycin A, gentamicin A, gentamicin	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
3002667	rmtD	amikacin, tobramycin, arbekacin, gentamicin A, gentamicin	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
3002668	rmtG	amikacin, tobramycin, arbekacin, gentamicin A, gentamicin	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
3002669	APH(2'')-Ig	amikacin, kanamycin A, tobramycin, gentamicin A, gentamicin	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
3002671	Limosilactobacillus reuteri cat-TC	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002672	Bacillus pumilus cat86	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002674	Clostridium butyricum catB	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002675	catB2	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002676	catB3	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002678	Pseudomonas aeruginosa catB6	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002679	Pseudomonas aeruginosa catB7	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002680	catB8	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002681	catB9	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002683	catA1	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002684	catII	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002685	catIII	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002686	catP	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002687	catQ	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002688	catS	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002689	Plasmid-encoded cat (pp-cat)	azidamfenicol, chloramphenicol, thiamphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3002690	Streptomyces lividans cmlR	chloramphenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3002691	Salmonella enterica cmlA	chloramphenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3002693	cmlA1	chloramphenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3002694	cmlA4	chloramphenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3002695	cmlA5	chloramphenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3002696	cmlA6	chloramphenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3002698	cmlB	chloramphenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3002699	cmlB1	chloramphenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3002700	cmlv	chloramphenicol	chloramphenicol phosphotransferase	phenicol antibiotic	antibiotic inactivation
3002701	Rhodococcus fascians cmr	chloramphenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3002702	cmrA	chloramphenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3002703	cmx	chloramphenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3002704	fexA	chloramphenicol, florfenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3002705	floR	chloramphenicol, florfenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3002707	QnrA1	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002708	QnrA2	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002709	QnrA3	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002710	QnrA4	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002711	QnrA5	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002712	QnrA6	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002713	QnrA7	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002714	QnrB1	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002715	QnrB2	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002716	QnrB3	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002718	QnrB4	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002719	QnrB5	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002720	QnrB6	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002721	QnrB7	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002722	QnrB8	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002723	QnrB9	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002724	QnrB10	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002725	QnrB11	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002726	QnrB12	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002727	QnrB13	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002728	QnrB14	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002730	QnrB15	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002731	QnrB16	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002732	QnrB17	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002733	QnrB18	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002734	QnrB19	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002735	QnrB20	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002736	QnrB21	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002737	QnrB22	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002738	QnrB23	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002739	QnrB24	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002740	QnrB25	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002741	QnrB26	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002742	QnrB27	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002743	QnrB28	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002744	QnrB29	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3002745	QnrB30	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
